dcterms:identifier,dcterms:title
162,6　　(建保6年)10月27日　関東御教書写（＃１６２）_nakamura196maeda
88,13　　建徳2年10月15日　　渋谷重門置文（＃８８）_nakamura196maeda
176,9　　永和2年5月25日　　_今川了俊(貞世)書下（＃１７６）_nakamura196maeda
63,8　　応永13年11月15日　_渋谷重頼置文（＃６３）_nakamura196maeda
77,2　　文永2年8月3日　　　渋谷善心(明重)譲状案（＃７７）_nakamura196maeda
189,22　　(至徳2年カ)8月10日_今川了俊(貞世)自筆書状（＃１８９）_nakamura196maeda
214,1　　延慶2年11月26日　　鎮西裁許状（＃２１４）_nakamura196maeda
200,3　　(応永2年カ)正月6日_今川了俊(貞世)自筆書状（＃２００）_nakamura196maeda
228,3　　正応元年10月3日　　蒙古合戦勲功賞配分状（＃２２８）_nakamura196maeda
229,4　　永仁3年11月4日　　_武光師兼薗地配分状（＃２２９）_nakamura196maeda
201,5　　(至徳2年カ)8月10日_今川了俊(貞世)自筆書状（＃２０１）_nakamura196maeda
215,2　　元弘3年7月20日　　_後醍醐天皇綸旨（＃２１５）_nakamura196maeda
76,1　　文永4年6月16日　　_関東下知状（＃７６）_nakamura196maeda
188,21　　(年未詳)4月13日　　今川貞臣書状（＃１８８）_nakamura196maeda
62,7　　建徳2年10月15日　　渋谷重門置文（＃６２）_nakamura196maeda
89,14　　文永7年10月5日　　_渋谷公重和与状案（＃８９）_nakamura196maeda
177,10　　永和元年9月13日　　今川了俊(貞世)書下（＃１７７）_nakamura196maeda
163,7　　建長4年6月30日　　_関東裁許状案（＃１６３）_nakamura196maeda
175,8　　(年未詳)3月10日　　今川了俊(貞世)書状（＃１７５）_nakamura196maeda
161,5　　建保6年11月26日　　島津忠久袖判中務丞忠旬奉書写（＃１６１）_nakamura196maeda
149,6　　(年未詳)8月9日　　_酒匂伊景書状（＃１４９）_nakamura196maeda
74,4　　正安元年10月　日　_薩摩入来院内塔原請地目録（＃７４）_nakamura196maeda
60,5　　貞和5年閏6月23日　_渋谷重勝置文（＃６０）_nakamura196maeda
203,7　　(至徳2年)正月28日　今川了俊(貞世)書状（＃２０３）_nakamura196maeda
217,4　　元徳3年7月13日　　_武光日妙(経兼)譲状（＃２１７）_nakamura196maeda
216,3　　観応2年6月17日　　_足利直冬下文（＃２１６）_nakamura196maeda
202,6　　(至徳2年)正月28日　今川了俊(貞世)自筆書状（＃２０２）_nakamura196maeda
61,6　　文和4年4月8日　　　渋谷重勝譲状（＃６１）_nakamura196maeda
